name,model_year,color,fuel,origin,bi_license,gear_type,bi_glass,engine_power,speedometer,passenger_seat_no,bi_payment_option,status,previous_owner,bi_condition,bi_lock_system,bi_alert,bi_radio,bi_sunroof,bi_wheels,bi_seat_type,bi_cushion,price
فيات 1998,1998,ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,70000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,30000
سكودا فابيا,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,70000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,55000
كيا برايد,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,79000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,66000
بيجو بارتنر,2011,أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,55000
فولكسفاجن كادي,2014,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,100000
هوندا اكورد,1997,ذهبي ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1800,210000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,2600
اوبل اسكونا,1967,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1200,1.0,5,إمكانية التقسيط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,1800
هونداي سانتافيه,2008,أزرق سماوي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,20000.0,7,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,لا يوجد,فرش جلد,وسادة حماية هوائية,77000
هونداي الانترا,1999,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0.0,5,نقدا فقط ,للبيع فقط ,3,لا يوجد,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,20000
هونداي i30,2010,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,113000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,لا يوجد,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,61000
فورد فيستا,2014,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,33000.0,5,نقدا فقط ,للتبديل فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,47000
هونداي توسان,2014,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,33000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,93000
سكودا رابيد,2014,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,33000.0,5,نقدا فقط ,للبيع فقط ,0,مُكيّف,لا يوجد,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,71000
هونداي i40,2011,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,33000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,110000
سكودا اوكتافيا,2014,عدة الوان ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,33000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,90000
كيا فورتي,2011,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,122000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,67000
اوبل كاديت,1982,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1300,0.0,5,نقدا فقط ,للبيع فقط ,0,لا يوجد,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,17500
هونداي اكسنت,2016,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,22000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,67000
فولكسفاجن بولو,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,22000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,60000
فولكسفاجن كادي,2011,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,22000.0,7,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,95000
دايو لانوس,1999,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1500,22000.0,5,نقدا فقط ,للبيع فقط ,3,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,30000
فولكسفاجن كادي,2012,فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150000.0,7,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,115000
هونداي توسان,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,29000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,109000
هونداي افانتي,2006,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,123457.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,42000
فولكسفاجن توران,2011,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,250000.0,8,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,85000
شفروليه اوبترا,2006,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,140000.0,5,نقدا فقط ,للبيع أو التبديل ,3,لا يوجد,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,32500
اوبل كورسا,2003,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,122000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,33500
فولكسفاجن توران,2012,رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,122000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,97000
هونداي توسان,2010,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,122000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,85000
فورد فيستا,2012,بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,78000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,45000
دايو رايسر,1996,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1500,0.0,5,إمكانية التقسيط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,21000
رينو R9,1983,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1100,0.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,11000
فورد ترانزيت,2000,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,0.0,8,نقدا فقط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,45000
مرسيدس فيتو,1999,رصاصي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,0.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,20000
اوبل كورسا,2015,رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,22000.0,6,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,56500
جييب شيروكي,2003,رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3700,130000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,85000
رينو R9,1982,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1235,130000.0,5,نقدا فقط ,للبيع فقط ,8,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,10000
اوبل كورسا,2013,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,130000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,51900
فولكسفاجن كرافيل,2008,برتقالي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,130000.0,8,نقدا فقط ,للبيع فقط ,1,مُكيّف,لا يوجد,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,75000
هونداي جيتس,2007,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,900000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,40000
سكودا اوكتافيا,2015,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,7.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,113000
فولكسفاجن بولو,1997,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0.0,5,نقدا فقط ,للبيع أو التبديل ,3,لا يوجد,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,25000
فولكسفاجن جولف,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,60000
فولكسفاجن جولف,2012,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,65000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,100000
سكودا اوكتافيا,2001,أخضر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,65000.0,5,نقدا فقط ,للبيع فقط ,6,مُكيّف,لا يوجد,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,لا يوجد,37000
فولكسفاجن باسات,2010,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,190.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,85000
فولكسفاجن ترانسبورتر ,1999,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2400,190.0,2,إمكانية التقسيط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,لا يوجد,37000
اوبل كاديت,1986,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,190.0,5,إمكانية التقسيط ,للبيع فقط ,2,لا يوجد,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,23000
بيجو بارتنر,2012,رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,190.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,69000
اوبل كاديت,1984,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,184000.0,5,نقدا فقط ,للبيع فقط ,5,لا يوجد,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,13000
اوبل اسكونا,1984,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,200.0,6,نقدا فقط ,للبيع فقط ,5,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,6000
اوبل زافيرا,2004,أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,200.0,7,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,45000
سكودا سوبيرب,2014,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,200.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,123999
كيا بيكانتو,2015,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,30000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,59000
فولكسفاجن بولو,2015,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,30000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,84000
فورد فوكس,2002,أبيض ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,295000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,5500
فولكسفاجن كادي,2015,بني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,60000.0,7,نقدا فقط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,108000
دايو نوبيرا,1997,خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,143212.0,5,إمكانية التقسيط ,للبيع أو التبديل ,9,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,22000
بي ام دبليو X3,2014,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,43000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,215000
فورد فيستا,2013,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,71.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,67000
شفروليه افيو,2009,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,160000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,45000
هونداي توسان,2006,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,160000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,55000
دراجة نارية دراجه سييم,2016,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,125,4000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,11500
فولكسفاجن جولف,1982,خمري ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني ,1300,4000.0,5,نقدا فقط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,4000
هونداي توسان,2008,سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,121000.0,6,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,66000
هونداي اكسنت,2015,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,9900.0,5,نقدا فقط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,68000
سكودا اوكتافيا,2016,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,56000.0,5,إمكانية التقسيط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,95000
رينو R9,1983,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1100,56000.0,5,إمكانية التقسيط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,7000
بيجو بارتنر,2011,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,260.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,57000
بيجو 305,1984,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,0.0,5,نقدا فقط ,للبيع فقط ,0,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,لا يوجد,7500
ستروين كسارا,2000,سكني ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,0.0,6,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,1900
هونداي كليك,2007,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,80000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,42000
بي ام دبليو 520,1994,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,200000.0,5,إمكانية التقسيط ,للبيع فقط ,5,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,25000
هونداي i25,2014,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,60.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,60000
بيجو 307,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,140000.0,5,نقدا فقط ,للبيع أو التبديل ,5,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,38500
